On The Road Again|Canned Heat
Judy Mae|Boomer Castleman
If I Could|Regina Belle
Can't Say Nothin'|Curtis Mayfield
Dedicated To The One I Love|Bernadette Peters
I Don't Know What It Is  But It Sure Is Funky|Ripple
Broken Heart|The Fiestas
Blue Winter|Connie Francis
It's Only Love|ZZ Top
Kansas City|Hank Ballard And The Midnighters
Mind  Body and Soul|The Flaming Ember
Grease|Frankie Valli
I'm Not The One|The Cars
Apeman|The Kinks
Over The Line|Eddie Schwartz
No Doubt About It|Neal McCoy
Treat My Baby Good|Bobby Darin
It's Only Love|Bryan Adams/Tina Turner
I Do Take You|The Three Degrees
Brown Eyed Woman|Bill Medley
What You See Is What You Get|Brenda K. Starr
With You|Somethin' For The People
Brother Rapp (Part 1)|James Brown
Touch Me|Fancy
What If (I Said I Love You)|Unipop
Landslide|Olivia Newton-John
The Weight|Supremes & Temptations
Sadeness Part 1|Enigma
The Entertainer|Tony Clarke
Count Your Blessings|Ashford & Simpson
Guess I've Been Around Too Long|Carl Smith
That's Why I Cry|Buddy Knox
Another Night|The Hollies
I Get The Sweetest Feeling|Jackie Wilson
Falling In Love|Balance
General Hospi-tale|The Afternoon Delights
Starlight|The Preludes Five
Dangerous|Roxette
Shakin'|Eddie Money
I Could Be Good For You|707
One Heartbeat|Smokey Robinson
My Girl (Gone  Gone  Gone)|Chilliwack
Georgy Porgy|Eric Benet Featuring Faith Evans
You'll Miss Me (When I'm Gone)|Fontella Bass & Bobby McClure
Something|Booker T. & The MG's
Sweet Dreams|Don Gibson
Honesty|Billy Joel
If I Could Only Be Sure|Nolan Porter
Society Girl|The Rag Dolls
These Arms Of Mine|Otis Redding
Arc Of A Diver|Steve Winwood
Reveille Rock|Johnny And The Hurricanes
So Much Love|Ben E. King
He Was Really Sayin' Somethin'|The Velvelettes
Stairway To Heaven|Pure Soul
Showing Out (Get Fresh At The Weekend)|Mel & Kim
Tossing & Turning|The Ivy League
One More Try|George Michael
Paper Mache|Dionne Warwick
Tell Me This Is A Dream|The Delfonics
Are You Man Enough|Four Tops
Now I Know|Jack Jones
Itchy Twitchy Feeling|The Swallows
Still Got The Blues|Gary Moore
Kiss Him Goodbye|The Nylons
Playing To Win|Little River Band
Say You Love Me|D.J. Rogers
Ewok Celebration|Meco
Whutcha Want?|Nine
In For The Night|The Dirt Band
Lift Me Up|Yes
Can't Stay Away From You|Gloria Estefan & Miami Sound Machine
Sunshine|Enchantment
Love Is Blue (L'Amour Est Bleu)|Manny Kellem - His Orchestra And Voices
Victory Line|Limited Warranty
Stoned Soul Picnic|The 5th Dimension
Fooled Around And Fell In Love|Elvin Bishop
Gee|The Pixies Three
Who Got The Props|Black Moon
Two To Make It Right|Seduction
Good Music|Joan Jett & the Blackhearts
Hearts Of Stone|Bill Black's Combo
When Will I Be Famous?|Bros
New Orleans|Neil Diamond
Don't Expect Me To Be Your Friend|Lobo
Bohemian Rhapsody|Queen
Alley-Oop|Dante and the Evergreens
Understanding|Xscape
Billy Bayou|Jim Reeves
Tell Me To My Face|Keith
Sailing|Rod Stewart
Don't It Make You Want To Go Home|Joe South and The Believers
In Between Days|The Cure
You Know What To Do|Carly Simon
Things We Do For Love|Horace Brown
We Can Work It Out|The Beatles
Remember Baby|Shep And The Limelites
I Thank You|ZZ Top
Guess Who/Them Changes|B.B. King
Come Into My Heart|Lloyd Price and His Orchestra
Inky Dinky Spider (The Spider Song)|The Kids Next Door
Confusion|Electric Light Orchestra
Every Breath I Take|Gene Pitney
Everything Is Going To Be Alright|Teegarden & Van Winkle
No Arms Can Ever Hold You|The Bachelors
Gonna Give Her All The Love I've Got|Jimmy Ruffin
Strange Feeling|Billy Stewart
Donna The Prima Donna|Dion (Di Muci)
Those Good Old Dreams|Carpenters
This Time Make It Funky|Tracie Spencer
For A Penny|Pat Boone
I'm A Fool For You|James Carr
Katy Too|Johnny Cash And The Tennessee Two
A Dollar Down|The Limeliters
Hold On! I'm A Comin'|Sam & Dave
Front Page Story|Neil Diamond
When I Give My Love|Keith Sweat
Never Dreamed You'd Leave In Summer|Stevie Wonder
Ring The Living Bell|Melanie
Ruby  Baby|Billy Crash Craddock
Do-Wacka-Do|Roger Miller
My Way|Brook Benton
It's Cool|The Tymes
Wonder Could I Live There Anymore|Charley Pride
Whiter Shade Of Pale|Hagar  Schon  Aaronson  Shrieve
Don't Cross The River|America
Yellow Submarine|The Beatles
After The Fall|Journey
Baby I Love You|Little Milton
Teasin'|Quaker City Boys
Here I Stand|Wade Flemons and the Newcomers
A Hurricane Is Coming Tonite|Carol Douglas
Sad Mood|Sam Cooke
Hard To Say|Dan Fogelberg
Speed Ball|Ray Stevens
Ain't It True|Andy Williams
Yes - Sir - ee|Dodie Stevens
Warm Ride|Rare Earth
It Doesn't Matter|Tyler Collins
Uptight (Everything's Alright)|The Jazz Crusaders
Open Letter (To A Landlord)|Living Colour
Mrs. Bluebird|Eternity's Children
You're My Blessing|Lou Rawls
Lipstick Traces (On A Cigarette)|Benny Spellman
I'm So Anxious|Southside Johnny & The Asbury Jukes
Surfin|The Beach Boys
Daddy Sang Bass|Johnny Cash
Woman|Peter And Gordon
I'll Drink To You|Duke Jupiter
Jenny Lou|Sonny James
Froggy Style|Nuttin' Nyce
The Best Man In The World|Ann Wilson
We Love You Beatles|The Carefrees
Why Not Me|Fred Knoblock
Love Me Again|The John Hall Band
Dianne  Dianne|Ronny And The Daytonas
Stubborn Kind Of Fellow|Marvin Gaye
Just Young|Andy Rose
Pleasure|The Soup Dragons
Back Seat (Of My Jeep)|LL Cool J
Nothing Broken But My Heart|Celine Dion
I Wrote A Simple Song|Billy Preston
Music From Across The Way|James Last
Sing A Song For Freedom|Frijid Pink
It's Not The End Of Everything|Tommy Edwards
Strong Enough To Be Gentle|Black Oak Arkansas
Dancin' Fool|The Guess Who
Scarlet Fever|Kenny Rogers
Contact|Edwin Starr
The Santa Claus Boogie|The Tractors
The Jam Was Moving|Debbie Harry
Ship Of Fools|Robert Plant
Tasty Love|Freddie Jackson
Higher Ground|UB40
The Final Countdown|Europe
No Tell Lover|Chicago
Department Of Youth|Alice Cooper
Voices|Cheap Trick
Maybe The Rain Will Fall|The Cascades
Get Up  Get Into It  Get Involved (Pt. 1)|James Brown
You Haven't Done Nothin|Stevie Wonder
Johnny Willow|Fred Darian
I Wish I Were A Princess|Little Peggy March
Sally|Grand Funk Railroad
Can You Feel It|The Jacksons
You're The One|The Three Degrees
Hello It's Me|Nazz
Moonlight Serenade|Bobby Vinton
You Better Know It|Jackie Wilson
I Need You|The Impressions
Muskrat Love|Captain & Tennille
I'm In Love|Aretha Franklin
Georgia Pines|The Candymen
Try Me|Jimmy Hughes
I Need Help (I Can't Do It Alone) Pt. 1|Bobby Byrd
I'm A Nut|Leroy Pullins
Not Enough|Van Halen
That's My Little Suzie|Ritchie Valens
Add Some Music To Your Day|The Beach Boys
Long Tall Glasses (I Can Dance)|Leo Sayer
Martha (Your Lovers Come And Go)|Gabriel
Mona Lisa|Conway Twitty
Girls In Love|Gary Lewis And The Playboys
Down The Aisle (Wedding Song)|Patti LaBelle And The Blue Belles
Bad Luck|The Atlanta Disco Band
Don't Go Away|Fun Factory
Goodbye Dad|The Castle Sisters
He Ain't Heavy...He's My Brother|Neil Diamond
You|Jesse Powell
The Game Is Over (What's The Matter With You)|Brown Sugar
What Am I Living For|Conway Twitty
Alabama Getaway|Grateful Dead
Bye Bye Barbara|Johnny Mathis
Ivory|Bob Seger System
Future Shock|Curtis Mayfield
Oh  What A Night|The Dells
Willpower Weak  Temptation Strong|Bullet
I'll Never Stop Wanting You|Brian Hyland
A Dreams A Dream|Soul II Soul
Happy|The Rolling Stones
Stay Close To Me|Five Stairsteps & Cubie
We've Got To Get It On Again|Addrisi Brothers
Pleasant Valley Sunday|The Monkees
(Closest Thing To) Perfect|Jermaine Jackson
Body Heat|Alicia Bridges
Going Home|Kenny G
The Boy Next Door|The Secrets
Like A Rock|Bob Seger
Count Me Out|New Edition
Never Tear Us Apart|INXS
All I Have To Do Is Dream|The Everly Brothers
Hold It|Bill Doggett
Big Girls Don't Cry|The 4 Seasons
Symptoms Of True Love|Tracie Spencer
Fly Me To The Moon|LaVern Baker
A Little Bit of Heaven|Natalie Cole
Meadows|Joe Walsh
You Have Placed A Chill In My Heart|Eurythmics
And I Love You So|Perry Como
If I Knew|Nat King Cole
Bird Dance Beat|The Trashmen
Bliss|Tori Amos
But Not For Me|Ketty Lester
Giving Up|Donny Hathaway
James (Hold The Ladder Steady)|Sue Thompson
Music Music Music|The Happenings
Ain't Gonna Kiss Ya|The Ribbons
Missing You|Dan Fogelberg
Raise The Roof|Luke Featuring No Good But So Good
What Now My Love|Groove Holmes
Lovers Always Forgive|Gladys Knight And The Pips
Chapel In The Moonlight|The Bachelors
That's What Friends Are For|B.J. Thomas
I Can't Help It (If I'm Still In Love With You)|B.J. Thomas
If You (Lovin' Me)|Silk
Move Me  O Wondrous Music|The Ray Charles Singers
There Is No Greater Love|The Wanderers
Keep The Fire Burnin'|REO Speedwagon
'Round We Go|Big Sister
A Whiter Shade Of Pale|The Hesitations
Wish You Didn't Have To Go|James & Bobby Purify
Let's Call It A Day Girl|Bobby Vee
Darlin' Danielle Don't|Henry Lee Summer
Get That Love|Thompson Twins
Are You That Somebody?|Aaliyah
Someone Who Cares|Kenny Rogers & The First Edition
I Miss My Homies|Master P Featuring Pimp C And The Shocker
My Tani|The Brothers Four
I Should Be So Lucky|Kylie Minogue
Cold World|Genius/GZA Featuring Inspektah Deck
Midnighter|The Champs
Girl In My Dreams|The Capris
Say You'll Be Mine|Christopher Cross
You Lied To Your Daddy|The Tams
I'm In A Philly Mood|Daryl Hall
Money's Just A Touch Away|Mack 10 Featuring Gerald Levert
It's Her Turn To Live|Smokey Robinson
Oh Honey|Delegation
Moody Woman|Jerry Butler
Fools Like Me|Lorenzo Lamas
Action|Evelyn Champagne King
Since I Met You Baby|Bobby Vee
God Bless The Child|Shania Twain
Violence Of Summer (Love's Taking Over)|Duran Duran
Rib Tip's (Part 1)|Andre Williams & His Orch.
The Little Drummer Boy|The Jack Halloran Singers
Star Wars Theme/Cantina Band|Meco
Playing With Lightning|Shot In The Dark
Bread And Butter|Robert John
I Love You|People
Mashed Potato Time|Dee Dee Sharp
Never  Never  Never (Grande  Grande  Grande)|Shirley Bassey
Stuck With You|Huey Lewis & The News
Walk Right Back|The Everly Brothers
Friends Of P.|The Rentals
Smells Like Teen Spirit|Nirvana
Yes (From The Motion Picture Dirty Dancing)|Merry Clayton
Close To You|B.T. Express
Typical Reasons (Swing My Way)|Prince Markie Dee And The Soul Convention
Fire Escape|Fastball
Bonaparte's Retreat|Billy Grammer
Run To My Lovin' Arms|Lenny Welch
Wake Me  Shake Me|The Coasters
Everybody Loves A Clown|Gary Lewis And The Playboys
Lonely Street|Clarence Henry
Love (I'm So Glad) I Found You|The Spinners
Stop The Music|The Shirelles
Today Is The Day|Bar-Kays
Vacation|Connie Francis
There Goes My Baby|The Drifters
My Melancholy Baby|Tommy Edwards
Born To Lose|Ray Charles
Revenge|Brook Benton
When I Grow Too Old To Dream|Ed Townsend
Without You In My Life|Tyrone Davis
Muscles|Diana Ross
Lonely Teardrops|Brian Hyland
Mrs. Brown You've Got A Lovely Daughter|Herman's Hermits
One Hit (To The Body)|The Rolling Stones
She's All I Got|Freddie North
It's All Right (Baby's Coming Back)|Eurythmics
Don't Try To Lay No Boogie Woogie On The King Of Rock & Roll|CROW
Do For Love|2Pac Featuring Eric Williams
Miss Broadway|Belle Epoque
Sing For The Day|Styx
Jimmy's Girl|Johnny Tillotson
Young Love|Lesley Gore
Is There Any Chance|Marty Robbins
Hip Hop Drunkies|Tha Alkaholiks Featuring Ol' Dirty Bastard
Make The World Go Away|Ray Price
Breakfast In Bed|Dusty Springfield
Rose Garden|Lynn Anderson
Sweet Loving Man|Morris Albert
Keep On Truckin' (Part 1)|Eddie Kendricks
Part-Time Love|Elton John
All His Children|Charley Pride with Henry Mancini
Make Someone Happy|Perry Como
Reflections|Diana Ross & The Supremes
Tell Me Something|Indecent Obsession
Yo Little Brother|Nolan Thomas
Endlessly|Brook Benton
Here We Go|Funkmaster Flex Presents Khadejia Featuring Product
It's Hard To Be Humble|Mac Davis
I Just Wanna Keep It Together|Paul Davis
Radio Ga Ga|Queen
Brazil|The Ritchie Family
You Are My Starship|Norman Connors
Holy Water|Bad Company
The Shadow Of Your Love|5 Stairsteps and Cubie
Precious Memories|The Romeos
It Ain't Me  Babe|Johnny Cash
My Little Secret|Xscape
The Shape Of Things To Come|The Headboys
Something Old  Something New|Paul and Paula
For The Love Of You|Jordan Hill
Little Young Lover|The Impressions
Sweet Baby|Stanley Clarke/George Duke
The One I Gave My Heart To|Aaliyah
Electrolite|R.E.M.
Watermelon Man|Mongo Santamaria Band
Aquarius/Let The Sunshine In (The Flesh Failures)|The 5th Dimension
Waltzing Matilda|Jimmie Rodgers
Cut The Cake|AWB
California Sun|Joe Jones
The Chipmunk Song (Christmas Don't Be Late)|David Seville And The Chipmunks
Do It Any Way You Wanna|People's Choice
Tallahassee Lassie|Freddy Cannon
Almost Unreal (From Super Mario Bros.)|Roxette
Stir It Up And Serve It|Tommy Roe
When The Radio Is On|Paul Shaffer
Hello Heartache  Goodbye Love|Little Peggy March
The Kissing Tree|Billy Grammer
Shotgun Rider|Joe Sun
No One|Connie Francis
Bang Bang|Danger Danger
Hold Me|Sheila E.
Outlaw Man|Eagles
I Can't Stand Still|Don Henley
Second Avenue|Tim Moore
Happy Vacation|Jackie Lee
Right Back Where We Started From|Sinitta
River  Stay 'Way From My Door|Frank Sinatra
Am I Black Enough For You|Billy Paul
They Don't Make Love Like They Used To|Eddy Arnold
Catch My Fall|Billy Idol
Tell Someone You Love Them|Dino  Desi & Billy
Coming Back To You|Maxine Brown
Whenever She Holds You|Patty Duke
Our Night|Shaun Cassidy
I Love Music (From Carlito's Way)|Rozalla
On The Rebound|Russ Ballard
Take Me (Just As I Am)|Solomon Burke
This Magic Moment|The Drifters
The Day The Rains Came|Jane Morgan
Puppet Man/Resurrection Shuffle|Tom Jones
King Of Nothing|Seals & Crofts
The Searching Is Over|Joe Henderson
Sugar Baby Love|The Rubettes
Machinery|Sheena Easton
The Fez|Steely Dan
What You Need|INXS
(She's Just A) Fallen Angel|Starz
Riders In The Sky|Lawrence Welk His Orchestra And Chorus
Let The Good Times Roll|Roy Orbison
Barbara Ann|The Beach Boys
Pump It (Nice An' Hard)|Icy Blu
Kick It Out|Heart
Land Of 1000 Dances|The Electric Indian
Sweeter Than Sugar|Ohio Express
Take A Closer Look At The Woman You're With|Wilson Pickett
Feels Like Heaven|Peter Cetera (Duet With Chaka Khan)
You've Never Been In Love Like This Before|Unit Four plus Two
Screaming Night Hog|Steppenwolf
Don't Ask My Neighbors|The Emotions
Kiss You (When It's Dangerous)|Eight Seconds
Summer Sand|Dawn
Werewolf|The Frantics
Love On The Phone|Suzanne Fellini
Another Cup Of Coffee|Brook Benton
Something I Want To Tell You|Johnny and The Expressions
The Yard Went On Forever|Richard Harris
To Each His Own|The Tymes
It's A Funky Thing-Right On (Part 1)|Herbie Mann
Cat's Eye In The Window|Tommy James
Go Back|Crabby Appleton
My Best Friend|Tim McGraw
Little Red Rented Rowboat|Joe Dowell
If You've Got A Heart|Bobby Goldsboro
Baby I'm - A Want You|Bread
High On Your Love Suite|Rick James
Wishful Sinful|The Doors
Don't Fight It|Kenny Loggins with Steve Perry
Sittin' On A Time Bomb (Waitin' For The Hurt To Come)|The Honey Cone
A Man I'll Never Be|Boston
People|Barbra Streisand
Shotgun Rider|Delbert McClinton
Could It Be Forever|David Cassidy
If That's Your Boyfriend (He Wasn't Last Night)|MeShell Ndegeocello
Empty Beach|Tricia Leigh Fisher
Out Of Sight|James Brown And His Orchestra
Beatstreet|Grand Master Melle Mel And The Furious Five With Mr Ness & Cowboy
From The Bottom Of My Heart (Dammi  Dammi  Dammi)|Dean Martin
I Pity The Fool|Bobby Bland
Age Ain't Nothing But A Number|Aaliyah
The Story Of My Love|Conway Twitty
Bad Love|Eric Clapton
Chicken Feed|Bent Fabric and His Piano
Let's Give Adam And Eve Another Chance|Gary Puckett And The Union Gap
I Don't Wanna Leave You|Debbie Taylor
Peter Gunn|Deodato
Loving You Is A Natural Thing|Ronnie Milsap
Themes From The Wizard Of Oz|Meco
Baby Be There|Nu Flavor
Every Day Of The Week|Jade
Don't Look Back|Boston
Postcard From Jamaica|The Sopwith Camel
This Time I Know It's For Real|Donna Summer
Sausalito (Is The Place To Go)|Ohio Express
Lonely Won't Leave Me Alone|Glenn Medeiros
Nice 'N' Slow|Freddie Jackson
How Can You Mistreat The One You Love|Jean & The Darlings
It's Not Enough|Starship
An Old Fashioned Love Song|Three Dog Night
Le Spank|Le Pamplemousse
Set Me Free|Clubland Featuring Zemya Hamilton
Feels So Good|Chuck Mangione
Please Don't Kiss Me Again|The Charmettes
Dance Everyone Dance|Betty Madigan
Baby Don't You Know|Wild Cherry
Jimmy Kiss And Run|Diane Maxwell
You've Got My Soul On Fire|The Temptations
All American Girls|Sister Sledge
Puff Of Smoke|Roy Head
Guess Who|Ruby Winters
What Kind Of Fool|Barbra Streisand & Barry Gibb
People Of The South Wind|Kansas
Tonight You're Gonna Fall In Love With Me|The Shirelles
You Mean The World To Me|David Houston
Mashed Potatoes U.S.A.|James Brown And The Famous Flames
What Does It Take|Honeymoon Suite
Just Yesterday|Al Martino
Shotgun Shuffle|The Sunshine Band
Happy Anniversary|The Four Lads
Funky Man|Kool & The Gang
Pushin' Too Hard|The Seeds
Baby Make Your Own Sweet Music|Jay And The Techniques
You Can Do It|Ice Cube Featuring Mack 10 & Ms. Toi
Let Me Love You Once|Greg Lake
Kiss Me Quick|Elvis Presley With The Jordanaires
Shake|Otis Redding
Yes  I'm Lonesome Tonight|Thelma Carpenter
Woman Is A Man's Best Friend|Teddy & The Twilights
Who Do You Think You Are|The Shindogs
(if You Add) All The Love In The World|Mac Davis
Silver Threads And Golden Needles|Linda Ronstadt
Bitter Sweet Symphony|The Verve
It's About Time|The Dillards
Love All The Hurt Away|Aretha Franklin And George Benson
Over My Head|Toni Basil
Let's Think About Living|Bob Luman
Come See About Me|Nella Dodds
N.y.  You Got Me Dancing|Andrea True Connection
Merry Christmas Baby|Chuck Berry
The Topical Song|The Barron Knights
Havin' Fun|Dion
Living Next Door To Alice|Smokie
Sunrise  Sunset|Roger Williams
The Main Event/Fight|Barbra Streisand
Jealous Again|The Black Crowes
You Never Miss Your Water (Till The Well Runs Dry)|Little Esther Phillips & Big Al Downing
It's All Up To You|The Dells
Rock Wit'cha|Bobby Brown
I Want To Make The World Turn Around|The Steve Miller Band
I Feel Free|Belinda Carlisle
In Dreams|Roy Orbison
I Do Believe In You|Pages
I'm Alive|Electric Light Orchestra
I Like It|Debarge
Beautiful People|The New Seekers featuring Eve Graham
Shadrack|Brook Benton
Goin' Places|The Jacksons
Innocent|The Whispers
Sunshine Of Your Love|Cream
Rich Man|Terri Gibbs
Teardrops On Your Letter|Hank Ballard And The Midnighters
Baby  I Love Your Way/Freebird Medley|Will To Power
Space Age Love Song|A Flock Of Seagulls
You'd Better Come Home|Russell Byrd
Week End|The Kingsmen
Been Too Long On The Road|Mark Lindsay
Never Trust A Woman|B.B. King
Ten Thousand Drums|Carl Smith
Feel The Music|Planet Soul Featuring Brenda Dee
Little Diane|Dion
Walk Away|Matt Monro
Behind Blue Eyes|The Who
Trouble In Mind|Aretha Franklin
Ooh La La (I Can't Get Over You)|Perfect Gentlemen
Life Is A Carnival|The Band
I'm A Man|The Yardbirds
Feel It Again|Honeymoon Suite
I'm Just Me|Charley Pride
Ain't That Peculiar|Diamond Reo
You To Me Are Everything|The Real Thing
It's Gonna Be Special|Patti Austin
Nothing Ever Goes As Planned|Styx
Tryin' To Get Over You|Vince Gill
Ma! (He's Making Eyes At Me)|Lena Zavaroni
Geraldine|Jack Scott
When Will I See You Smile Again?|Bell Biv DeVoe
Damned If I Do|The Alan Parsons Project
Shoes|Reparata
You Can Run (But You Can't Hide)|Jerry Butler
Back In The U.S.S.R.|Chubby Checker
For Love|Lloyd Price and His Orchestra
The Other Side|Aerosmith
Music Time|Styx
Trees|The Platters
It's An Uphill Climb To The Bottom|Walter Jackson
Walking Through The Country|The Grass Roots
The Longer You Wait|Gino Vannelli
Hope That We Can Be Together Soon|Sharon Paige and Harold Melvin And The Blue Notes
I'll Be Around|What Is This
I Say A Little Prayer/By The Time I Get To Phoenix|Glen Campbell/Anne Murray
Forever Mine|The Motels
Sad Eyes|Brooklyn Dreams
Cowboy Jimmy Joe (Die Sterne Der Prarie)|Lolita
The Peacemaker|Albert Hammond
American Tune|Paul Simon
Once A Night|Jackie English
Baby  I Need Your Loving|O.C. Smith
Catch Me I'm Falling|Real Life
Biology|Danny Valentino
Rhumba Girl|Nicolette Larson
When You Say Love|Sonny & Cher
Blue Eyes Crying In The Rain|Willie Nelson
Saved|LaVern Baker
Panama|Van Halen
Nickel Song|The New Seekers featuring Eve Graham
Live Wire|Martha & The Vandellas
Surfer's Stomp|The Marketts
Have You Ever?|Brandy
Teenager's Prayer|Joe Simon
Have You Ever Really Loved A Woman?|Bryan Adams
Fly Me To The Moon|Bobby Womack
Quando  Quando  Quando (Tell Me When)|Pat Boone
Take On Me|a-ha
If Wishes Came True|Sweet Sensation
Tic-Tac-Toe|Kyper
The Jitterbug|The Dovells
Almost Persuaded|Etta James
Jungle Love|The Steve Miller Band
Good Lovin'|The Olympics
Sweet Little Kathy|Ray Peterson
I Can't Hold Back|Survivor
Come And Get Me|Jackie DeShannon
The April Fools|Dionne Warwick
Thanks For My Child|Cheryl Pepsii Riley
Lost Horizon|Shawn Phillips
I'll Be With You In Apple Blossom Time|Wayne Newton
Some Guys Have All The Luck|Rod Stewart
Jackie|Blue Zone U.K.
Make Love To Me|Helen Reddy
A Mess Of Blues|Elvis Presley With The Jordanaires
Ode To Billy Joe|Ray Bryant
Can't You See|Waylon Jennings
Let The Day Begin|The Call
Mother-in-law|Clarence Carter
What Would I Do|Mickey & Sylvia
Mississippi Queen|Mountain
Soul Heaven|The Dixie Drifter
Hard Times For Lovers|Jennifer Holliday
Someone Like You|Michael Stanley Band
Can't Get Enough Of You  Baby|? (Question Mark) & The Mysterians
Don't Let Go The Coat|The Who
'98 Thug Paradise|Tragedy  Capone  Infinite
Donald Where's Your Troosers?|Andy Stewart
Sunday Barbecue|Tennessee Ernie Ford
I Found Love|The Party
Cruising For Bruising|Basia
Chills And Fever|Ronnie Love And His Orchestra
Seesaw|Don Covay & The Goodtimers
Lady Love|Lou Rawls
Invitation To The Blues|Ray Price
Sweet Summer Music|Attitudes
Try To Remember|Roger Williams
Left & Right|D'Angelo Featuring Method Man And Redman
We Been Singin' Songs|Baron Stewart
All I Have To Do Is Dream|Bobbie Gentry & Glen Campbell
She's All I Got|Johnny Paycheck
If You Go Away|NKOTB
Falling|Roy Orbison
Heartache Away|Don Johnson
I'll Come Running|Livingston Taylor
Life|K-Ci & JoJo
Me-U=Blue|Glenn Medeiros (Featuring The Stylistics)
Sincerely Yours|Sweet Sensation (With Romeo J.D.)
On The Dock Of The Bay|The Dells
Life And Death In G&A|Love Childs Afro Cuban Blues Band
Da Doo Ron Ron (When He Walked Me Home)|The Crystals
I Won't Mention It Again|Ray Price
For Emily  Whenever I May Find Her|Simon & Garfunkel
This Diamond Ring|Gary Lewis And The Playboys
Who Shot Sam|George Jones
That's What Girls Are Made For|The Spinners
Don't Change Your Love|Five Stairsteps & Cubie
Up Around The Bend/Run Through The Jungle|Creedence Clearwater Revival
There She Goes|Sixpence None The Richer
I'm Gonna Hold On Long As I Can|The Marvelettes
Bang The Drum All Day|Todd Rundgren
Don't You Believe It|Andy Williams
Feel So Bad|Little Milton
Scratch|The Crusaders
Convention '72|The Delegates
The Bertha Butt Boogie-Part 1|The Jimmy Castor Bunch
New Power Generation|Prince
Sit With The Guru|Strawberry Alarm Clock
Spanish Nights And You|Connie Francis
Fields Of Gray|Bruce Hornsby
Rock Me|Nick Gilder
Joystick|Dazz Band
We've Come Too Far To End It Now|Smokey Robinson & The Miracles
Heartbreaker|Mariah Carey Featuring Jay-Z
She's Fly|Tony Terry
Leona|Wet Willie
Sweet Annie Laurie|Sammy Turner and The Twisters
Fire And Rain|Johnny Rivers & Friends
Break Out|Mitch Ryder And The Detroit Wheels
I Hear You Knocking|Fats Domino
What Is Hip?|Tower Of Power
The Enchanted Sea|The Islanders
(Ghost) Riders In The Sky|Ramrods
Beat The Clock|The McCoys
Easy Street|Edgar Winter Group
Nasty|Janet Jackson
Redwood Tree|Van Morrison
Kissin' And Twistin'|Fabian
Chains|The Cookies
This Land Is Your Land|The New Christy Minstrels
When He Touches Me (Nothing Else Matters)|Peaches & Herb
Live And Let Die|Guns N' Roses
Think Of The Good Times|Jay & The Americans
Totally Hot|Olivia Newton-John
(I Can't Help You) I'm Falling Too|Skeeter Davis
I Want You So Bad|Heart
His Kiss|Betty Harris
Don't Make Me Over|Jennifer Warnes
The 13th|The Cure
I'm Not Ready|Keith Sweat
See Ruby Fall|Johnny Cash
Fish Ain't Bitin'|Lamont Dozier
Another Night|Dionne Warwick
Bachelor Boy|Cliff Richard And The Shadows
Let The Good Times Roll & Feel So Good|Bunny Sigler
Little Girl|Ritchie Valens
Follow Me|The Drifters
Make It Last|Brooklyn Dreams
Dream|Forest For The Trees
Caught In The Game|Survivor
Round & Round|Twinz
Got To Have Loving|Don Ray
Come On Sock It To Me|Syl Johnson
You Should Have Seen The Way He Looked At Me|The Dixie Cups
Join Together|The Who
Biggest Part Of Me|Ambrosia
Taste Of Tears|Johnny Mathis
Back To The World|Tevin Campbell
You Remind Me (From Strictly Business)|Mary J. Blige
Jackie Brown|John Mellencamp
Before And After|Chad & Jeremy
If You Love Me (let Me Know)|Olivia Newton-John
Make It Easy On Yourself|Jerry Butler
Dueling Banjos|Deliverance/Eric Weissberg & Steve Mandell
Happenings Ten Years Time Ago|The Yardbirds
The Ballad Of Irving|Frank Gallop
All You've Got|RTZ
Tears Of Joy|Chuck Jackson
What To Do With Laurie|Mike Clifford
Insatiable|Prince And The N.P.G.
The Finer Things|Steve Winwood
Everything's Alright|The Newbeats
Wide Open Spaces|Dixie Chicks
We Had A Good Thing Goin'|The Cyrkle
Is That The Way|Tin Tin
Notorious B.I.G.|The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim
Me And My Crazy World|Lost Boyz
Pretty Boy Lonely|Patti Page
Dreams|Fleetwood Mac
(Do The) Mashed Potatoes (Part 1)|Nat Kendrick And The Swans
The Closer I Get To You|Roberta Flack With Donny Hathaway
He's So Fine|Jane Olivor
Big Time|Lou Christie
Frisky|Sly & The Family Stone
Break Away (From That Boy)|The Newbeats
Never  Never|The Jive Five With Joe Rene And Orchestra
Clap For The Wolfman|The Guess Who
I Gotta Keep Dancin'|Carrie
Meditation (Meditacao)|Pat Boone
Much Better|Club 69 Featuring Suzanne Palmer
Galveston|Roger Williams
Southernplayalisticadillacmuzik|OutKast
Midnight Stroll|The Revels
Press|Paul McCartney
Ways To Be Wicked|Lone Justice
Don't Deceive Me|Ruth Brown
Pump Up The Volume|M/A/R/R/S
Hey You! Get Off My Mountain|The Dramatics
Let's Go Out Tonight|Nile Rodgers
You Can't Win (Part 1)|Michael Jackson
Monkey-Shine|Bill Black's Combo
You Know My Steez|Gang Starr
She's Got A Whole Number|Keith Herman
Mirage|Tommy James And The Shondells
Wonderful World|Herman's Hermits
I Don't Want To Be A Lone Ranger|Johnny Guitar Watson
Run  Run  Look And See|Brian Hyland
We Can Fly|The Cowsills
Stereotomy|The Alan Parsons Project
In The Heat Of The Night|Ray Charles
